id,phrase,source,ragil,is_verified,visibility_tier,category,vip_source,has_notes,in_post_links,corpus_role,rule_applied,confidence,cluster_id
c12e3e22-16d8-4ea8-ae60-bdae488a0454,פוטין,איש חדשות,155,True,3,כללי,,False,False,thematic_corpus,rule:איש חדשות,high,
09d438aa-9a32-492a-b119-f4ccb7fb382d,מירב מיכאלי,auto:תיעוד אירועים wp28984,363,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28984,high,
9d6d834c-bd55-4d31-9149-fb98899e32fe,נשים באדום,auto:תיעוד אירועים wp28984,453,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp28984,high,
e3ace9dd-c583-47b6-83cc-d4d17f440fdc,ביום קראנו,auto:תיעוד אירועים wp29114,415,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp29114,high,
1f82173b-a7f1-423e-a00d-330de951b738,בושה בושה,auto:תיעוד אירועים wp30145,626,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp30145,high,
9cc92af3-46d4-463c-8ad7-7c0da0d37d56,בושה בושה בושה,auto:תיעוד אירועים wp30145,939,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp30145,high,
b3654424-63f1-4042-8865-2b66d780003f,גיל פנצק,auto:תיעוד אירועים wp30421,363,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp30421,high,
58c85a27-f0ae-4a2a-a88b-6d4063b4ab1f,אייל גולן,auto:תיעוד אירועים wp30776,140,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp30776,high,
0b90b0e8-9d8f-48da-be88-b39efff99c26,בנימין אחימאיר,auto:תיעוד אירועים wp30776,432,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp30776,high,
04f334aa-a01c-4c09-b8e8-686abd998295,תהו בהו,auto:תיעוד אירועים wp30856,424,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp30856,high,
7c3c80de-d210-4b6d-ba49-eb7d01367f8b,קרע שטן,auto:תיעוד אירועים wp31911,729,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp31911,high,
9c7cec58-9b65-4f33-9d6a-497983752051,טילי שיוט,auto:תיעוד אירועים wp32380,384,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
65c5886c-ff4c-4753-8597-cc7f268e2f9b,אמינה אלחסוני,auto:תיעוד אירועים wp32380,271,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
a356b803-f2db-4e7c-9a0f-2c7055bcc9ce,בנימין איראן,auto:תיעוד אירועים wp32380,424,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
cdb78175-3287-4ab8-9f42-d5a811d37e62,ביבי המלך,auto:תיעוד אירועים wp32380,119,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
67783f7a-1429-4065-91e0-19c78f89e7b2,סתר הגאולה,auto:תיעוד אירועים wp32380,710,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
7b9b289b-142f-4be4-8ecd-161875d723eb,מה סוד כניסה לרפיח,auto:תיעוד אירועים wp32380,588,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
30bc14e4-54e9-44f4-9f09-bed3e5c93ac6,עד חצי המלכות,auto:תיעוד אירועים wp32380,683,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
9c25612a-6f6f-4a05-be72-6d244ae0fec7,סוד רפח,auto:תיעוד אירועים wp32380,358,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
f2ff35ac-2d3c-4f24-9121-e51aed0027b7,בנים לגבולם,auto:תיעוד אירועים wp32380,213,True,3,,,True,True,thematic_corpus,rule:auto:תיעוד אירועים wp32380,high,
