id,phrase,source,ragil,is_verified,visibility_tier,dna_status,category,vip_source,has_notes,corpus_role,rule_applied,confidence,cluster_id
"eab7fd69-4722-4ebf-bf95-91a0b9574eab","יהוה יצמיח קרן לדוד ב2015 - לפי אחת - אחרי","excel_import","3960","false","3","appendix","יהוה","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"eace66dc-274e-4e93-b4d5-cbe84809bea1","אמתין לך בנצח","excel_import","701","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"eaeff473-90d9-48e6-bd61-59b616eaf907","עם ישראל יגאל ביטבת","excel_import","1118","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"eaf239d4-4152-4520-99db-5edcb958984a","גוים לא יחיו לנצח","excel_import","302","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"eafe6425-c4d0-40e6-bcd7-9faa0ff1a343","אורגזמה נצחית","excel_import","820","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"eb02f42e-f121-449f-b8e0-f11386a5321a","הגואל יבא לציון","excel_import","244","true","3","appendix","גאולה","","false","thematic_corpus","thematic_category_verified","high",""
"eb1340dd-2695-4385-b385-7c9a55f9d430","סוד המשיח יתגלה","excel_import","881","true","3","appendix","משיח","","false","thematic_corpus","thematic_category_verified","high",""
"eb17f8fe-1aff-4c3b-b994-eb590a6db3dc","שובו בנים שובבים ליהוה בעתה","excel_import","1309","false","3","appendix","יהוה","","true","thematic_corpus","thematic_category_unverified","medium",""
"eb500dac-e73f-4db2-a0d1-cb5ac2f192a7","לילית האשה הראשונה","excel_import","1358","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"eb8ce26a-e9df-4590-b4cb-ed254f207911","אתה תושיע את עם ישראל בימינו","excel_import","2362","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"eb8e69ae-a126-480a-a611-b4405cc9961c","אגשים את חלומך 1118","excel_import","3180","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ebbb1dcd-ecaf-4e59-a5d4-e014d1d8944c","סודות יהוה במתמטיקה","excel_import","1108","true","3","appendix","יהוה","","true","thematic_corpus","thematic_category_verified","high",""
"ebbfc573-1caa-4dfc-ba1f-9c513d6487e1","הוא הנבחר למשיח האחרון","excel_import","935","true","3","appendix","משיח","","true","thematic_corpus","thematic_category_verified","high",""
"ebe48293-d94e-4fee-9e72-94546e7ea832","לי חכמת המתמטיקה","excel_import","1117","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"ebe8895b-5c42-4aee-b6f5-5477a3f30f21","שמע ישראל אני משיח יהוה","excel_import","1396","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ebfce6f2-76ca-4cd0-9282-ca628952f118","שכם בן חמור 666 (שכם 360)","excel_import","2510","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ec024a6b-7490-4167-b7e7-3215c46b362e","מַעֲשֵׂה אֱלֹהִים - לוּחֹת הַבְּרִית - יֵשׁ מֵאֵין","excel_import","1973","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"ec11e83c-2ae4-4351-af93-cbdb176d7101","אתה השליח שלי לגאולה האמתית האחרונה","excel_import","2305","false","3","appendix","גאולה","","true","thematic_corpus","thematic_category_unverified","medium",""
"ec1c9614-2426-4d3e-ae29-7033321b81df","רעידת האדמה בנפאל","excel_import","902","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"ec37b87d-cb65-4ace-bf85-220958ec141e","ביאת המשיח בהיסח הדעת בעתה","excel_import","1817","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ec3da856-a213-4ca6-844e-cc1969b255b5","בימינו ימשח ע""י הנביא","excel_import","624","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"ec4efad4-839e-4970-9773-f9a058e964dd","הוא יהיה מלך המשיח האמתי = אחרי","excel_import","1820","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ec5ea5eb-1abb-48e1-8845-36a11befa70a","הסוף לחילול השבת","excel_import","972","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"ec6854a8-fcb5-4d2c-b07f-ee9f5459805f","האספו ואגידה לכם ביאת המשיח","excel_import","1047","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ec90bab8-cd7a-4e46-ad0d-0046c774541e","אתה רוצה אותי כמשיחך האחרון","excel_import","1792","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ec982a27-da53-4991-9863-f96817a35e0a","קץ ישמעאל קץ אדום בימינו","excel_import","1000","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"ecad53f9-487a-4e08-b5b1-a9c31e35a608","אני סוד משיח יהוה","excel_import","515","true","3","appendix","משיח","","true","thematic_corpus","thematic_category_verified","high",""
"ecba237e-fbad-4453-a771-2adeb6a1955b","נבחרך בזמן הזה 396 - מסתתר","excel_import","1396","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ecc646bc-c012-42cc-97da-10873863255b","שבעים עמים יעלו על ציון","excel_import","954","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"ecd083c1-c62f-4ca6-8612-b33f4ad2ed40","ישועת יהוה במהרה בזמן הזה","excel_import","1180","false","3","appendix","יהוה","","true","thematic_corpus","thematic_category_unverified","medium",""
"ecd0bec4-66c6-48f4-9450-93d312224e6b","מה יהיה 65 650 במלא שיטות 360 75 300","excel_import","650","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ecf80049-585e-4528-8dc7-3909bacbdbc7","הגואל האמיתי האחרון","excel_import","781","true","3","appendix","גאולה","","false","thematic_corpus","thematic_category_verified","high",""
"ed0a52e1-b1f1-4bfd-992f-92cbaac49914","אלפים וחמש עשרה","excel_import","1090","true","3","appendix","כללי","","true","numeric_word_construct","spelled_out_number_construct","medium",""
"ed3e3f43-aa29-45b2-890f-851a5e28585d","מי יתגלה בעוד ארבעים יום","excel_import","959","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"ed4628d7-33df-4256-8f4b-074c2b35eaec","מלך המשיח ימחה את הנחש הקדמון","excel_import","1485","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ed4f845f-d8a7-4f68-b843-4cae4441b997","סוף שנת הקורונה = 1394 מסתתר","excel_import","878","false","3","appendix","כללי","","true","archival_raw","raw_unparsed_formula_dump","medium",""
"ed662fb3-5743-4154-b205-e39a97e37653","מחכה לשכינתך הקדושה","excel_import","1323","true","3","appendix","כללי","","true","research_package","verified_multi_method_documented","medium",""
"ed78e338-fc9d-44de-bfb1-68acc06f90da","רצון יהוה בתשובת ישראל במהרה בימינו","excel_import","2393","false","3","appendix","יהוה","","true","thematic_corpus","thematic_category_unverified","medium",""
"ed7bba9a-854b-4368-ad12-6246d5f8a005","לא נדע לעולם את הקץ בעתה","excel_import","1404","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"ed8da031-9008-444d-9a8b-6d2b9f6eb934","הוא צמח דויד בנ ישי בזמן הזה","excel_import","662","false","3","appendix","כללי","","true","research_vocabulary","unverified_general_candidate","low",""
"ed9dac82-1c71-4788-bade-263f6002cd80","בראשית שמות... דברים","excel_import","1915","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"ed9f9e2e-127a-48a8-90f7-ef445cc50ed0","עמלק יעלה לציון","excel_import","541","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"eda6896a-27a9-47cb-b526-019f8be17a59","עת הישועה מילוי גדול","excel_import","1005","true","3","appendix","כללי","","true","research_vocabulary","verified_general_no_extra_notes","medium",""
"edd30c03-671c-4443-a14e-f057fd46a9e2","מלחמה אטומית בין ארהב לרוסיה","excel_import","1170","false","3","appendix","כללי","","false","research_vocabulary","unverified_general_candidate","low",""
"ede030b3-ecbd-4c07-8d03-43dff0d5481f","כסא יהוה יהיה שלם בעתה","excel_import","984","false","3","appendix","יהוה","","true","thematic_corpus","thematic_category_unverified","medium",""
"ede4b674-3f4e-468f-9c7b-da8ba7d11277","מי אני ומה אני","excel_import","223","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
"ee03c06c-68a5-40f8-8213-1aee46a6011d","הוא המשיח העתידי מילוי ללא מילה","excel_import","1116","false","3","appendix","משיח","","true","thematic_corpus","thematic_category_unverified","medium",""
"ee1f9d68-510b-41cf-bfe6-13caeebeb273","בחרת את עבדך משיחך","excel_import","1485","true","3","appendix","משיח","","true","thematic_corpus","thematic_category_verified","high",""
"ee27b772-e11a-4765-adb4-151b35312884","סלין לאה מלכת ישראל בעתה","excel_import","1694","true","3","appendix","כללי","","false","research_vocabulary","verified_general_no_extra_notes","medium",""
